,BERT,BLEU,MSG_LEN
C,0.8672913355408381,4.0227734547461385,23.804083885209714
C#,0.8698389728096666,2.0601089879154135,22.30664652567976
C++,0.8640481598984733,3.13672499999999,24.680678934010153
Dart,0.8696051094890512,5.0060715328467165,24.755474452554743
Elixir,0.8697566037735848,4.175876415094339,22.556603773584907
Go,0.8664689515165988,2.1035800334368284,24.322419106759018
Groovy,0.8792581818181819,6.886830909090911,24.09090909090909
Java,0.8700746161228404,2.9223315419065923,23.503828790786947
JavaScript,0.8711360392675089,3.6697518029073115,22.70150560694733
Kotlin,0.8689767991407098,1.4598513426423205,21.89581095596133
Nix,0.897104388248419,3.019383153588696,23.597619933060617
Objective-C,0.8642902439024391,1.3948243902439024,23.75609756097561
PHP,0.8672171287128706,3.8177339603960405,21.91782178217822
Python,0.8694331326208014,4.156271157609509,23.01940484720759
Ruby,0.8676331730769234,3.840312179487182,23.065705128205128
Rust,0.8652366315789454,3.6906021578947357,24.40157894736842
Shell,0.8715825287356326,4.225901839080457,24.20919540229885
Smalltalk,0.8472826086956523,1.118691304347826,25.869565217391305
Swift,0.8693954699886746,2.4693545866364643,21.792751981879956
TypeScript,0.8710477797833909,4.035702653429602,22.67977211191336
