,Language,BLEU_norm_Trained,MSG_LEN_Trained,BLEU_norm_JB,MSG_LEN_JB
0,C,0.1588957264957265,10.0,0.176964406779661,8.607019491525424
1,C#,0.1190479768786127,10.0,0.1452970930232558,8.229402325581395
2,C++,0.1304044665012406,10.0,0.1489822384428224,8.692274939172746
3,Dart,0.1408083333333333,10.0,0.1714942857142857,8.548674285714286
4,Elixir,0.1417428571428571,10.0,0.2682624999999999,8.34375
5,Go,0.160848148148148,10.0,0.1864499999999999,8.550488805970145
6,Groovy,0.17825,10.0,0.187375,8.40085
7,Java,0.1400358024691357,10.0,0.1605337500000002,8.436014249999996
8,JavaScript,0.1604663716814159,10.0,0.1823601744186045,8.415560755813944
9,Kotlin,0.1369016666666666,10.0,0.1650147540983606,8.268206557377049
10,Nix,0.2656350877192982,10.0,0.2639672413793103,8.872237931034482
11,Objective-C,0.1242333333333333,10.0,0.1629666666666666,8.491666666666667
12,PHP,0.1451388059701492,10.0,0.1752848484848485,8.025459090909091
13,Python,0.1534604705882354,10.0,0.1779396751740138,8.414006032482595
14,Ruby,0.1663024096385541,10.0,0.1955961038961038,8.451706493506492
15,Rust,0.1533967479674797,10.0,0.1788213114754097,8.523563114754097
16,Shell,0.19118,10.0,0.2092249999999999,8.566475
17,Smalltalk,0.11565,10.0,0.1308666666666666,8.461533333333334
18,Swift,0.1287350877192982,10.0,0.1423037037037037,8.382387037037038
19,TypeScript,0.1587471910112361,10.0,0.1802525280898877,8.420553089887632
20,Total,0.1547179061602296,10.0,0.1762822009569376,8.484863413078177
