,BLEU_norm,MSG_LEN
C,0.1588957264957265,10.0
C#,0.11904797687861275,10.0
C++,0.13040446650124063,10.0
Dart,0.14080833333333334,10.0
Elixir,0.14174285714285714,10.0
Go,0.16084814814814802,10.0
Groovy,0.17825,10.0
Java,0.14003580246913575,10.0
JavaScript,0.1604663716814159,10.0
Kotlin,0.13690166666666667,10.0
Nix,0.2656350877192982,10.0
Objective-C,0.12423333333333332,10.0
PHP,0.14513880597014925,10.0
Python,0.15346047058823545,10.0
Ruby,0.16630240963855417,10.0
Rust,0.1533967479674797,10.0
Shell,0.19118000000000002,10.0
Smalltalk,0.11565,10.0
Swift,0.12873508771929823,10.0
TypeScript,0.15874719101123616,10.0
Total,0.1547179061602296,10.0
