,BLEU_norm,MSG_LEN
C,0.176964406779661,8.607019491525424
C#,0.1452970930232558,8.229402325581395
C++,0.1489822384428224,8.692274939172746
Dart,0.1714942857142857,8.548674285714286
Elixir,0.26826249999999996,8.34375
Go,0.18644999999999995,8.550488805970145
Groovy,0.187375,8.40085
Java,0.1605337500000002,8.436014249999996
JavaScript,0.18236017441860455,8.415560755813944
Kotlin,0.16501475409836064,8.268206557377049
Nix,0.2639672413793103,8.872237931034482
Objective-C,0.16296666666666665,8.491666666666667
PHP,0.17528484848484852,8.025459090909091
Python,0.17793967517401385,8.414006032482595
Ruby,0.1955961038961038,8.451706493506492
Rust,0.1788213114754097,8.523563114754097
Shell,0.20922499999999997,8.566475
Smalltalk,0.13086666666666666,8.461533333333334
Swift,0.14230370370370377,8.382387037037038
TypeScript,0.1802525280898877,8.420553089887632
Total,0.17628220095693764,8.484863413078177
